date,roundNum,momEarnings,dadEarnings,tiffEarnings,chrisEarnings
"2023-05-31 18:59:51",235,-0.25,-0.25,-0.25,0.75
"2023-05-31 19:05:48",236,-4,-4,-4,12
"2023-05-31 19:13:19",237,-1,-0.5,-0.5,2
"2023-05-31 19:22:42",238,-0.25,-0.25,1,-0.5
"2023-05-31 19:26:47",239,-0.25,-0.25,1,-0.5
"2023-05-31 19:46:27",240,1,-0.5,-0.25,-0.25
"2023-05-31 19:53:48",241,-0.25,-0.5,-0.25,1
"2023-05-31 20:01:45",242,-0.5,-0.25,1,-0.25
"2023-05-31 20:09:26",243,-1,2,-0.5,-0.5
"2023-05-31 20:15:29",244,-2,-2,8,-4
"2023-05-31 20:20:07",245,-0.25,-0.5,1,-0.25
"2023-05-31 20:30:49",246,-2,8,-2,-4
"2023-05-31 20:36:20",247,-0.5,-0.25,-0.25,1
"2023-05-31 20:44:28",248,-0.25,-0.25,-0.25,0.75
"2023-05-31 20:54:38",249,-0.25,-0.25,0.75,-0.25
